OrderID,OrderDate,DeliveryDate,SupplierID,SKU,Quantity
0110000,2023-01-24,2023-02-05,S010,SKU-483,61
0110001,2023-01-18,2023-01-25,S007,SKU-175,48
0110002,2023-01-02,2023-01-19,S001,SKU-357,205
0110003,2023-01-24,2023-01-29,S003,SKU-492,290
0110004,2023-01-16,2023-02-01,S009,SKU-554,517
0110005,2023-01-23,2023-02-08,S002,SKU-193,335
0110006,2023-01-20,2023-01-27,S003,SKU-391,544
0110007,2023-01-23,2023-02-02,S008,SKU-222,341
0110008,2023-01-06,2023-01-14,S004,SKU-226,263
0110009,2023-01-15,2023-02-02,S009,SKU-060,384
0110010,2023-01-14,2023-02-04,S006,SKU-563,236
0110011,2023-01-16,2023-01-21,S007,SKU-233,257
0110012,2023-01-17,2023-01-29,S004,SKU-206,292
0110013,2023-01-28,2023-02-07,S008,SKU-556,458
0110014,2023-01-11,2023-01-17,S007,SKU-444,438
0110015,2023-01-24,2023-02-10,S006,SKU-299,452
0110016,2023-01-11,2023-01-26,S002,SKU-057,172
0110017,2023-01-28,2023-02-07,S004,SKU-094,432
0110018,2023-01-15,2023-01-25,S005,SKU-257,550
0110019,2023-01-25,2023-02-06,S009,SKU-113,22
0110020,2023-01-23,2023-02-07,S004,SKU-106,249
0110021,2023-01-07,2023-01-21,S002,SKU-558,245
0110022,2023-01-09,2023-01-30,S006,SKU-186,90
0110023,2023-01-05,2023-01-15,S008,SKU-479,397
0110024,2023-01-13,2023-01-27,S008,SKU-284,333
0110025,2023-01-21,2023-02-12,S002,SKU-088,227
0110026,2023-01-14,2023-01-21,S004,SKU-102,313
0110027,2023-01-19,2023-01-27,S004,SKU-071,440
0110028,2023-01-23,2023-02-07,S004,SKU-460,123
0110029,2023-01-27,2023-02-09,S010,SKU-342,402
0110030,2023-01-23,2023-02-04,S008,SKU-073,125
0110031,2023-01-12,2023-01-23,S010,SKU-396,99
0110032,2023-01-17,2023-01-30,S002,SKU-366,468
0110033,2023-01-03,2023-01-14,S001,SKU-149,226
0110034,2023-01-01,2023-01-14,S002,SKU-373,202
0110035,2023-01-05,2023-01-17,S010,SKU-103,134
0110036,2023-01-18,2023-02-06,S002,SKU-325,550
0110037,2023-01-22,2023-02-08,S009,SKU-287,473
0110038,2023-01-06,2023-01-14,S004,SKU-140,367
0110039,2023-01-10,2023-01-20,S004,SKU-364,334
0110040,2023-01-14,2023-01-29,S006,SKU-031,332
0110041,2023-01-25,2023-02-02,S005,SKU-471,466
0110042,2023-01-06,2023-01-13,S001,SKU-355,439
0110043,2023-01-07,2023-01-14,S007,SKU-052,267
0110044,2023-01-26,2023-02-04,S008,SKU-453,397
0110045,2023-01-03,2023-01-16,S010,SKU-230,153
0110046,2023-01-25,2023-02-02,S003,SKU-350,308
0110047,2023-01-10,2023-01-20,S005,SKU-036,429
0110048,2023-01-18,2023-01-27,S003,SKU-367,234
0110049,2023-01-24,2023-02-03,S007,SKU-391,280
0110050,2023-01-05,2023-01-11,S003,SKU-288,357
0110051,2023-01-07,2023-01-21,S002,SKU-281,588
0110052,2023-01-27,2023-02-08,S008,SKU-462,430
0110053,2023-01-22,2023-02-06,S010,SKU-344,29
0110054,2023-01-24,2023-02-10,S009,SKU-555,465
0110055,2023-01-05,2023-01-19,S006,SKU-208,183
0110056,2023-01-10,2023-01-18,S007,SKU-168,460
0110057,2023-01-15,2023-01-26,S008,SKU-202,517
0110058,2023-01-25,2023-02-11,S006,SKU-498,186
0110059,2023-01-11,2023-01-25,S006,SKU-225,442
0110060,2023-01-10,2023-01-20,S001,SKU-481,245
0110061,2023-01-26,2023-02-12,S006,SKU-039,211
0110062,2023-01-11,2023-01-24,S002,SKU-285,418
0110063,2023-01-07,2023-01-25,S010,SKU-380,470
0110064,2023-01-27,2023-02-04,S004,SKU-530,73
0110065,2023-01-21,2023-02-02,S002,SKU-377,341
0110066,2023-01-04,2023-01-16,S008,SKU-472,297
0110067,2023-01-06,2023-01-17,S004,SKU-366,305
0110068,2023-01-12,2023-01-27,S006,SKU-288,277
0110069,2023-01-27,2023-02-02,S004,SKU-054,220
0110070,2023-01-12,2023-01-26,S008,SKU-007,206
0110071,2023-01-16,2023-01-29,S007,SKU-460,569
0110072,2023-01-22,2023-02-02,S006,SKU-149,459
0110073,2023-01-28,2023-02-11,S006,SKU-577,236
0110074,2023-01-11,2023-01-31,S009,SKU-555,247
0110075,2023-01-14,2023-01-22,S004,SKU-008,442
0110076,2023-01-05,2023-01-22,S001,SKU-187,287
0110077,2023-01-16,2023-01-27,S005,SKU-029,42
0110078,2023-01-27,2023-02-06,S008,SKU-267,551
0110079,2023-01-28,2023-02-09,S002,SKU-148,441
0110080,2023-01-13,2023-01-23,S003,SKU-379,518
0110081,2023-01-24,2023-02-09,S010,SKU-402,523
0110082,2023-01-05,2023-01-19,S002,SKU-259,220
0110083,2023-01-12,2023-01-22,S004,SKU-569,223
0110084,2023-01-25,2023-02-04,S007,SKU-011,530
0110085,2023-01-28,2023-02-15,S010,SKU-151,508
0110086,2023-01-11,2023-01-20,S008,SKU-340,228
0110087,2023-01-17,2023-01-25,S008,SKU-250,343
0110088,2023-01-10,2023-01-26,S006,SKU-465,505
0110089,2023-01-28,2023-02-07,S001,SKU-049,556
0110090,2023-01-23,2023-02-01,S001,SKU-063,289
0110091,2023-01-11,2023-01-27,S002,SKU-234,529
0110092,2023-01-16,2023-01-25,S003,SKU-119,181
0110093,2023-01-20,2023-01-30,S003,SKU-253,149
0110094,2023-01-15,2023-01-23,S007,SKU-404,168
0110095,2023-01-06,2023-01-13,S001,SKU-057,24
