DeliveryID,TransporterID,DepartureDate,ArrivalDate,Distance_km,Cost,SKU,Quantity
D10000,T002,2023-05-27,2023-06-07,1787,2419.15,SKU-094,25
D10001,T009,2023-12-09,2023-12-10,1571,2433.2,SKU-508,189
D10002,T010,2023-05-10,2023-05-11,846,717.11,SKU-153,66
D10003,T002,2023-01-19,2023-01-21,358,460.07,SKU-148,93
D10004,T010,2023-06-06,2023-06-15,719,574.87,SKU-333,19
D10005,T007,2023-10-28,2023-11-03,1519,2329.67,SKU-188,177
D10006,T005,2023-08-01,2023-08-13,560,427.16,SKU-518,144
D10007,T003,2023-03-04,2023-03-12,54,36.09,SKU-393,43
D10008,T011,2023-04-21,2023-04-30,222,292.81,SKU-294,188
D10009,T010,2023-06-19,2023-06-24,1353,1206.65,SKU-589,196
D10010,T005,2023-06-13,2023-06-19,646,438.34,SKU-143,142
D10011,T010,2023-08-04,2023-08-17,841,847.32,SKU-549,169
D10012,T008,2023-10-18,2023-10-19,174,269.91,SKU-204,197
D10013,T002,2023-05-02,2023-05-09,913,1038.3,SKU-043,197
D10014,T001,2023-06-14,2023-06-22,1330,1746.2,SKU-426,52
D10015,T011,2023-01-21,2023-01-26,1354,2271.83,SKU-410,33
D10016,T004,2023-04-09,2023-04-21,322,298.16,SKU-299,35
D10017,T005,2023-04-13,2023-04-16,761,621.04,SKU-389,88
D10018,T009,2023-02-14,2023-02-19,673,994.71,SKU-280,51
D10019,T008,2023-03-24,2023-04-04,550,875.97,SKU-088,30
D10020,T003,2023-11-20,2023-11-26,988,762.24,SKU-051,164
D10021,T006,2023-10-25,2023-11-08,456,722.6,SKU-354,66
D10022,T010,2023-06-24,2023-06-25,61,58.0,SKU-234,160
D10023,T008,2023-02-09,2023-02-16,565,796.62,SKU-581,76
D10024,T012,2023-07-10,2023-07-29,1373,2054.01,SKU-084,64
D10025,T006,2023-04-02,2023-04-13,250,364.37,SKU-244,158
D10026,T004,2023-12-01,2023-12-12,1233,1174.54,SKU-465,107
D10027,T007,2023-12-16,2023-12-27,764,1357.54,SKU-354,158
D10028,T009,2023-09-07,2023-09-20,800,1034.68,SKU-299,177
D10029,T006,2023-09-14,2023-09-21,1427,2396.38,SKU-512,69
D10030,T010,2023-12-08,2023-12-16,1705,1397.27,SKU-050,15
D10031,T010,2023-12-08,2023-12-16,145,142.04,SKU-053,84
D10032,T012,2023-12-18,2023-12-20,1067,1638.3,SKU-082,39
D10033,T003,2023-09-01,2023-09-07,104,82.15,SKU-449,116
D10034,T003,2023-03-10,2023-03-20,816,679.59,SKU-597,40
D10035,T005,2023-10-24,2023-11-05,133,88.24,SKU-357,35
D10036,T003,2023-09-11,2023-09-25,475,392.05,SKU-368,131
D10037,T011,2023-01-21,2023-01-29,110,165.05,SKU-349,58
D10038,T005,2023-10-10,2023-10-25,422,344.58,SKU-185,5
D10039,T011,2023-10-15,2023-10-25,450,627.14,SKU-053,185
D10040,T004,2023-02-21,2023-02-27,1512,1200.14,SKU-479,64
D10041,T012,2023-12-10,2023-12-15,1119,1373.08,SKU-207,111
D10042,T002,2023-11-15,2023-11-25,265,361.61,SKU-182,172
D10043,T011,2023-05-20,2023-05-25,284,408.82,SKU-308,83
D10044,T009,2023-02-02,2023-02-13,614,945.8,SKU-200,78
D10045,T003,2023-01-20,2023-02-05,1668,1122.92,SKU-177,165
D10046,T002,2023-11-08,2023-11-09,1540,2080.67,SKU-404,35
D10047,T006,2023-07-17,2023-07-24,592,927.31,SKU-407,143
D10048,T010,2023-02-26,2023-02-27,79,78.6,SKU-022,86
D10049,T004,2023-07-24,2023-07-30,1787,1590.37,SKU-447,192
D10050,T008,2023-04-09,2023-04-19,1034,1698.95,SKU-129,153
D10051,T008,2023-03-09,2023-03-16,599,1064.73,SKU-013,180
D10052,T008,2023-09-01,2023-09-15,1496,2325.89,SKU-213,17
D10053,T012,2023-10-02,2023-10-06,1622,2480.29,SKU-437,107
D10054,T005,2023-09-07,2023-09-12,1789,1277.96,SKU-290,106
D10055,T002,2023-07-21,2023-07-31,542,606.82,SKU-183,128
D10056,T011,2023-04-23,2023-05-02,1288,1763.02,SKU-198,16
D10057,T009,2023-06-05,2023-06-09,1397,2029.33,SKU-200,153
D10058,T009,2023-05-11,2023-05-19,410,632.12,SKU-423,153
