snapshot_date_id,product_id,warehouse_id,stock_on_hand
607,7942,3,0
356,2002,8,2111
26,7974,2,2366
600,2560,1,650
354,2202,4,1112
401,5453,8,1325
250,71,9,1193
1058,97,10,2835
91,1531,8,1057
552,4465,7,2896
493,4881,5,1392
551,1461,7,2616
1007,2853,9,297
54,4377,8,1343
844,4031,9,1941
672,4486,8,1787
136,1047,2,916
183,3920,1,177
517,77,4,2158
259,4912,10,1798
913,4606,5,1434
119,253,1,0
417,486,1,349
203,1503,6,2821
274,6085,2,2294
1096,479,6,2871
582,3905,8,1811
388,3877,7,2302
454,4643,9,0
557,6777,2,2366
638,6354,3,2599
1032,1442,5,865
1061,6596,1,1532
182,7418,2,284
776,448,3,667
162,1647,10,2064
318,1053,1,1837
705,4355,2,2280
1021,1774,2,2985
1005,4541,7,705
890,2841,3,0
431,4410,8,164
424,5826,7,2303
535,2911,8,887
194,2045,8,0
339,2906,5,2073
282,7980,9,190
1023,436,4,1743
109,6658,4,2281
659,6647,2,2851
1076,6033,3,910
343,5347,2,187
552,6576,4,2853
937,1067,9,1194
877,2012,5,0
725,4430,1,2602
358,3869,7,2973
1020,5899,9,1444
980,7268,7,939
1012,3237,8,732
689,2012,1,2154
458,3281,2,2343
175,6876,1,113
539,7072,1,1019
994,364,3,2568
600,4914,3,2386
436,4845,9,349
296,6308,10,922
423,1716,8,2993
829,4176,8,546
170,6618,4,0
567,2988,1,1499
560,4318,10,2642
519,1788,8,45
786,7666,4,1217
643,4662,10,1891
518,2017,5,20
811,774,8,675
445,6937,2,2580
577,7668,6,1470
1088,959,10,2157
95,792,1,607
278,1960,3,1630
138,4456,7,0
374,2715,10,2577
417,2265,1,4
182,2561,5,1596
217,1936,9,2457
85,7360,6,2737
198,6047,10,1641
380,5843,2,2911
97,7062,4,1752
976,2544,3,1365
295,6471,6,0
253,3989,10,191
308,6677,10,768
262,7096,3,2501
560,5698,5,2527
799,5457,9,663
569,1791,7,1246
961,4221,7,0
816,2893,9,303
1041,1194,1,1134
842,818,4,2574
865,4690,10,1237
173,7623,2,1402
275,7812,5,1359
147,6090,7,99
223,7726,9,1607
1056,3845,1,615
943,166,10,2991
830,2077,2,2087
980,5519,5,1506
1027,4145,10,1402
164,3243,2,1515
12,601,6,816
951,7867,3,2162
676,1651,9,561
357,1687,2,1678
647,6400,1,0
626,1284,7,923
929,3446,5,2370
546,6334,3,2814
747,7114,9,2822
210,319,5,2795
841,7855,10,2613
313,3374,8,2556
780,7999,10,2383
969,115,9,943
451,2396,6,2190
569,2310,10,2438
999,4808,1,657
141,5063,1,981
681,5667,3,1082
870,6258,4,2323
784,4770,3,2404
507,1114,5,526
268,2786,5,1930
1082,4106,2,1576
1016,3582,8,2628
556,1962,7,0
630,259,7,1051
836,5711,8,1253
55,4941,10,0
720,1261,6,1828
442,2764,4,1082
952,4503,8,2128
691,2273,3,0
890,6268,6,670
540,4289,4,563
268,4019,1,1708
301,2273,2,2327
803,5259,1,1436
1081,268,8,2216
993,2656,1,0
524,2009,7,2730
1062,3002,10,0
525,7265,6,1450
29,4917,3,1483
126,1799,4,251
877,7725,10,2309
988,1677,5,1283
89,6609,7,46
899,2151,4,980
28,2671,7,363
539,2273,10,920
1017,5628,4,1672
991,4712,10,0
336,5880,3,1832
129,7586,6,0
362,6199,8,751
397,5347,9,2747
244,7924,3,2239
980,5667,5,1905
856,7598,2,286
56,1401,9,0
59,1848,6,1709
374,4286,3,2450
938,7226,1,0
36,2469,3,2861
881,1093,8,2189
314,5046,3,925
1075,183,6,25
873,1398,5,2759
737,3931,10,922
342,2236,6,1117
719,7165,7,1076
630,204,8,416
735,3766,5,1385
530,7242,7,1178
514,6065,6,2510
168,6479,9,2697
533,6945,9,1152
310,4735,1,1473
1010,2542,2,2553
416,593,6,443
848,5691,10,818
1080,1349,4,114
138,6569,3,2154
9,360,2,1890
1055,7154,7,1454
219,754,5,0
204,14,3,681
662,3713,4,592
594,2284,1,2713
249,617,2,2874
666,3824,8,2517
500,3196,6,1777
328,6904,6,2788
433,3413,3,978
49,2253,4,468
783,6443,5,350
843,4204,4,468
742,5802,6,771
205,6898,8,606
1026,6611,9,104
753,2866,10,2815
402,6089,4,474
638,114,7,45
437,4993,7,1075
101,7867,4,1174
191,4313,10,2169
55,2743,1,1305
546,6431,2,97
1001,2351,9,2117
468,3221,2,412
215,7153,9,1399
943,2780,8,1931
1049,7748,9,2645
528,3724,10,1497
536,6101,9,1521
803,1386,1,253
733,1645,1,561
396,2158,4,1019
608,3683,1,731
360,7631,6,0
660,7661,10,22
137,7002,7,2746
264,6628,10,959
843,6326,9,1657
628,7197,9,682
136,82,3,1221
459,1366,5,2281
496,2744,10,628
1017,6221,3,2333
1014,3707,1,2642
103,1877,8,1429
880,4730,3,1550
517,5729,9,1833
854,3543,1,2272
62,4264,1,1392
871,6409,2,643
973,3916,5,5
446,5156,7,977
634,7913,6,632
939,5768,9,0
1033,5651,9,342
122,5700,6,1348
156,1926,2,1262
1091,7588,1,641
1071,2112,9,2741
600,3357,7,596
998,4746,2,751
88,5855,8,0
819,7588,1,203
858,1482,8,199
907,2544,9,1718
572,3194,7,427
735,2358,8,1768
465,1018,8,0
310,2547,5,2265
183,6250,7,2548
993,598,4,108
363,2857,10,2119
87,7931,8,168
274,2595,9,400
763,1183,10,1343
948,7239,2,2078
505,7969,9,1832
93,6996,8,2492
342,225,4,1529
800,1547,5,1413
635,4493,1,2267
621,5890,1,2308
373,3474,6,0
771,1567,9,2068
79,1423,1,2433
227,2856,7,1475
406,1056,8,0
823,2478,2,19
259,3755,3,506
883,4219,5,2795
199,6534,9,2559
765,1081,4,761
130,2761,10,476
514,1981,1,1097
628,4107,7,1491
736,1409,1,580
4,5610,6,261
834,3971,8,2848
882,2849,1,1145
854,6987,7,0
180,7633,5,123
534,7195,6,1986
565,1864,9,1634
485,5993,6,1669
1036,3958,9,2409
1009,3663,8,881
506,2999,1,1206
68,6035,9,2856
475,1536,5,336
842,7661,10,1271
398,3340,8,0
61,5585,10,1486
477,3761,8,1056
404,5752,1,0
604,2358,9,2313
816,3976,3,231
291,1456,9,128
455,5697,6,2996
65,805,5,0
801,4133,9,0
772,7811,3,970
80,1675,7,2008
248,7249,8,672
59,4166,6,2044
648,5590,2,1563
767,321,7,1197
105,2055,9,111
241,7652,3,174
963,3433,9,2694
129,2339,4,0
842,1903,5,2195
193,2237,10,162
237,3982,8,2709
828,7370,8,2385
338,1955,3,1252
829,3282,4,0
264,5257,4,68
647,1504,7,2335
196,184,5,704
304,5811,8,1829
613,4706,6,1729
716,4975,3,1628
961,7834,4,1225
1055,4041,10,315
481,2310,10,918
1065,6082,7,1332
899,3201,7,1225
367,3900,9,2933
691,4101,4,2188
924,2280,9,0
470,4543,6,1630
142,38,3,1547
679,2776,5,846
192,830,9,508
1014,1312,1,1922
214,4178,8,651
2,6011,10,2774
599,3864,2,2167
77,205,1,940
998,3669,10,0
577,4715,1,580
230,5330,4,2624
159,3325,9,2902
702,530,3,2153
69,3865,9,1421
933,4142,9,1675
760,7741,5,826
900,5393,10,0
55,4853,9,432
1030,1687,8,1876
575,4809,5,1844
1058,5957,8,806
331,913,9,37
944,2784,2,1731
987,7212,8,1624
762,1099,6,2015
529,3309,7,2483
88,6408,7,751
605,5503,5,1612
3,4284,10,1240
722,7260,10,2417
382,2425,7,1589
633,103,3,1642
260,7251,3,2260
135,3514,1,2743
578,7377,5,973
45,5689,10,1085
1052,1898,8,0
491,4282,5,1267
371,2528,2,1526
576,6022,9,275
381,5948,7,196
102,4648,5,2549
93,1837,8,1037
731,4925,6,2035
27,4310,10,2784
124,6439,4,148
248,6069,6,688
213,2690,8,1506
663,6857,9,0
686,7052,6,1971
630,1896,7,2113
635,5003,4,2490
558,419,9,1089
547,7695,7,1044
860,1212,1,2591
435,5331,7,1941
609,2595,7,1259
124,2077,7,2076
168,1956,3,2507
347,5386,8,1758
430,6097,6,571
385,2817,10,1228
938,5210,9,2143
319,5292,4,4
392,7485,8,936
970,4760,1,2044
469,5938,2,1344
863,2984,3,626
1053,5822,3,2824
972,5617,6,747
701,436,10,1057
496,5251,7,2627
321,1353,4,2416
967,5928,7,1365
599,200,8,941
203,2457,8,2899
997,5605,10,0
524,11,9,709
118,1907,5,2197
101,2377,6,1769
91,4041,3,867
777,2887,8,2867
527,1727,6,997
1088,1555,6,1243
817,1578,5,1446
849,6764,4,734
614,65,9,2226
507,7671,6,2160
332,2173,3,1109
34,5144,4,1873
197,5625,3,1021
647,7221,7,2515
1036,6179,10,1262
365,4235,7,462
283,3907,6,2394
581,6344,4,1341
146,6608,8,2201
853,983,1,1627
378,721,3,539
139,5419,10,2226
227,4222,4,2464
39,599,4,2915
740,400,6,273
35,6595,10,1787
135,7849,5,0
1035,5563,2,2588
1094,2123,10,975
698,7376,9,1286
186,2833,4,2787
783,2416,8,192
694,4695,6,1302
371,1432,7,757
48,6802,7,2951
243,4024,2,1306
18,2544,2,578
182,4189,3,1973
596,2623,8,3000
789,4031,5,1603
247,1669,5,2195
413,3558,10,716
504,5947,5,1664
167,5074,1,2162
650,7004,9,2343
430,7104,2,323
972,6363,8,0
3,850,2,123
590,6253,1,2692
248,4422,1,2795
578,5095,4,0
191,3287,10,1100
750,2268,7,2753
996,4986,7,1649
186,121,4,2129
388,3578,3,0
860,7366,4,126
798,880,9,1699
1002,7789,8,525
918,2393,7,1451
421,4121,7,58
298,7999,3,0
1018,902,9,2215
281,6814,7,1604
701,5691,5,2267
1072,1969,8,2123
40,2181,6,2727
535,2286,3,1563
334,7166,2,2379
844,1382,4,976
72,3031,2,2290
596,5197,3,992
961,3024,10,176
772,3127,10,758
230,416,3,694
439,1166,6,2663
1018,1132,9,2338
378,1809,1,1909
139,4273,7,256
381,2741,1,2843
622,5969,9,1907
485,3710,8,2626
465,7543,10,0
539,6363,1,2729
685,3080,8,960
464,2748,4,1520
11,1247,4,1597
81,3322,3,2794
744,7451,2,2620
868,288,3,1473
429,804,1,525
650,140,4,0
304,1425,2,320
389,1191,7,2239
186,3777,2,2398
664,6719,7,947
1030,6604,9,1043
1,4984,1,0
303,5329,3,2662
160,6885,9,440
693,6193,7,893
60,5497,9,536
366,7037,1,2573
901,6316,1,1955
461,4673,4,960
21,5306,1,721
269,7024,2,2580
209,7162,7,1895
196,722,2,778
