order_id,order_date_id,customer_id,product_id,warehouse_id,quantity_ordered,unit_price,order_status
1,966,569,7217,1,411,44.08,SHIPPED
2,195,582,7998,5,162,30.97,PARTIALLY_SHIPPED
3,569,3198,2980,6,231,14.26,OPEN
4,784,1020,7516,8,50,30.22,SHIPPED
5,137,703,2651,3,394,45.75,SHIPPED
6,1034,3795,310,4,41,29.21,PARTIALLY_SHIPPED
7,811,1307,5706,6,488,10.52,SHIPPED
8,452,1748,7841,9,47,17.57,SHIPPED
9,620,1156,3673,5,479,1.63,OPEN
10,892,2825,1241,7,105,54.73,SHIPPED
11,511,1987,747,9,471,33.45,OPEN
12,482,739,621,7,394,1.24,SHIPPED
13,648,1497,6489,8,192,54.76,PARTIALLY_SHIPPED
14,923,1180,6246,4,39,12.78,OPEN
15,1087,163,3839,7,74,7.32,SHIPPED
16,891,3941,3899,1,473,14.49,OPEN
17,839,3888,3943,5,374,40.4,PARTIALLY_SHIPPED
18,554,1941,5259,6,139,14.01,PARTIALLY_SHIPPED
19,1043,3524,2697,3,46,52.47,OPEN
20,289,3653,6075,4,393,17.09,OPEN
21,786,1662,3146,9,330,22.52,PARTIALLY_SHIPPED
22,467,834,4222,3,23,4.14,SHIPPED
23,557,2656,7906,4,193,2.99,OPEN
24,885,1041,6250,3,495,27.8,OPEN
25,136,3666,1843,7,72,56.69,SHIPPED
26,628,3678,5699,7,65,18.36,PARTIALLY_SHIPPED
27,645,3473,5916,6,248,21.56,PARTIALLY_SHIPPED
28,64,1558,389,10,457,19.49,PARTIALLY_SHIPPED
29,475,3323,1207,3,233,30.88,OPEN
30,292,2358,2529,5,54,34.94,SHIPPED
31,1082,371,1941,8,206,24.07,PARTIALLY_SHIPPED
32,1061,1131,2490,8,359,27.67,OPEN
33,249,2801,4819,4,497,43.91,OPEN
34,1016,472,7693,5,367,21.03,SHIPPED
35,369,3833,6634,3,449,54.14,SHIPPED
36,505,1724,99,4,447,18.4,OPEN
37,1013,2831,174,10,55,44.57,OPEN
38,754,3988,4559,8,193,60.57,OPEN
39,542,1671,2761,8,434,34.37,OPEN
40,285,1651,7363,6,3,59.05,PARTIALLY_SHIPPED
41,934,2647,6671,9,408,1.42,OPEN
42,893,1129,6815,1,184,15.99,CANCELLED
43,516,3137,745,6,242,35.47,SHIPPED
44,126,3253,7214,10,286,55.5,OPEN
45,1021,2688,4805,3,488,23.6,CANCELLED
46,506,223,2675,4,491,37.48,SHIPPED
47,284,2352,72,1,342,37.22,SHIPPED
48,79,2710,2076,9,10,29.26,PARTIALLY_SHIPPED
49,351,1442,2133,4,323,45.8,OPEN
50,723,1459,4122,2,463,38.98,OPEN
51,957,1381,4391,6,100,44.17,OPEN
52,705,2527,3278,5,106,34.09,SHIPPED
53,423,2649,5473,8,136,13.1,PARTIALLY_SHIPPED
54,967,2112,597,6,220,13.74,PARTIALLY_SHIPPED
55,69,285,1192,1,457,22.17,PARTIALLY_SHIPPED
56,534,3948,7664,4,352,23.78,SHIPPED
57,252,570,7465,2,437,49.5,PARTIALLY_SHIPPED
58,872,3978,6403,10,169,3.07,OPEN
59,819,3522,3234,7,75,21.83,OPEN
60,400,1451,6082,8,446,38.19,SHIPPED
61,149,328,3469,9,213,3.28,PARTIALLY_SHIPPED
62,24,1542,5593,8,415,20.41,SHIPPED
63,988,832,2798,9,478,25.47,SHIPPED
64,24,1959,2185,4,440,52.9,SHIPPED
65,471,634,2113,2,425,3.01,SHIPPED
66,138,579,461,4,177,45.53,SHIPPED
67,379,1467,220,7,252,26.7,OPEN
68,560,1441,7149,8,209,24.59,OPEN
69,135,424,7182,2,39,64.32,OPEN
70,161,348,6885,3,136,60.97,PARTIALLY_SHIPPED
71,828,2889,5822,10,493,48.71,OPEN
72,235,1477,5044,7,252,14.3,OPEN
73,976,518,6982,1,487,29.87,SHIPPED
74,750,1738,208,6,64,22.06,PARTIALLY_SHIPPED
75,374,1238,6529,10,163,49.3,PARTIALLY_SHIPPED
76,673,2281,760,1,388,9.01,SHIPPED
77,211,99,331,2,290,27.55,PARTIALLY_SHIPPED
78,1034,2564,3520,2,72,51.53,PARTIALLY_SHIPPED
79,1027,353,709,3,51,5.78,PARTIALLY_SHIPPED
80,348,2884,4732,8,64,38.5,OPEN
81,466,1798,4158,2,421,1.04,SHIPPED
82,172,3929,5586,6,343,43.49,PARTIALLY_SHIPPED
83,551,1240,7000,1,330,27.19,SHIPPED
84,410,286,6286,10,258,25.29,OPEN
85,504,1865,6641,3,181,18.77,SHIPPED
86,709,1676,7156,5,420,9.3,OPEN
87,919,2352,2931,3,276,28.09,OPEN
88,1007,211,732,9,113,1.9,OPEN
89,196,1149,4,1,430,51.61,SHIPPED
90,235,2820,654,9,457,18.6,SHIPPED
91,275,386,6280,6,420,32.83,OPEN
92,4,2163,648,7,482,4.7,SHIPPED
93,892,2753,4949,7,294,50.73,PARTIALLY_SHIPPED
94,435,2310,2878,7,402,15.9,SHIPPED
95,885,3608,6303,9,266,14.3,OPEN
96,630,2940,302,5,456,35.32,CANCELLED
97,851,962,138,4,427,26.23,SHIPPED
98,896,1159,5695,10,354,46.98,SHIPPED
99,585,3722,7813,1,424,20.95,SHIPPED
100,1009,1481,1529,9,185,54.34,PARTIALLY_SHIPPED
101,148,1574,365,3,400,5.79,PARTIALLY_SHIPPED
102,384,2869,5098,8,278,8.16,CANCELLED
103,998,1729,4633,3,345,27.72,OPEN
104,511,1645,3101,7,321,59.52,SHIPPED
105,734,2673,6660,3,499,4.72,PARTIALLY_SHIPPED
106,199,1954,4252,7,116,45.94,OPEN
107,751,1370,1293,1,190,62.01,SHIPPED
108,976,478,7370,6,462,46.19,SHIPPED
109,556,683,4075,10,113,45.08,PARTIALLY_SHIPPED
110,856,838,4370,7,292,19.73,OPEN
111,567,467,4338,7,42,43.29,SHIPPED
112,708,3496,7153,6,57,2.99,PARTIALLY_SHIPPED
113,718,3046,7156,4,340,49.62,PARTIALLY_SHIPPED
114,525,3963,532,5,159,42.23,SHIPPED
115,840,1799,7137,9,227,50.67,SHIPPED
116,656,1359,3491,1,259,16.93,PARTIALLY_SHIPPED
117,36,2538,3399,9,8,6.57,SHIPPED
118,269,2815,2681,2,292,21.64,OPEN
119,424,258,3350,7,72,3.13,SHIPPED
120,286,56,2046,6,459,19.12,OPEN
121,221,2521,601,2,136,27.88,SHIPPED
122,878,2339,6702,9,109,37.3,SHIPPED
123,341,2134,7992,10,79,61.26,SHIPPED
124,871,57,5129,8,318,59.29,SHIPPED
125,765,3125,2444,3,162,9.76,OPEN
126,67,2434,6240,9,295,15.57,PARTIALLY_SHIPPED
127,414,3635,3370,1,471,34.33,OPEN
128,816,2958,4780,9,34,15.51,PARTIALLY_SHIPPED
129,487,1557,627,10,185,35.44,SHIPPED
130,367,37,681,9,368,57.52,PARTIALLY_SHIPPED
131,177,1829,4488,10,398,25.98,OPEN
132,241,3136,1077,7,326,8.18,OPEN
133,711,701,1282,9,120,47.53,OPEN
134,607,3291,5440,5,455,35.84,OPEN
135,831,1685,629,4,373,45.06,PARTIALLY_SHIPPED
136,622,1593,518,3,322,53.78,SHIPPED
137,765,1590,6515,9,439,16.31,OPEN
138,730,3106,4625,7,493,0.83,OPEN
139,42,41,7349,10,262,26.56,SHIPPED
140,51,1820,4212,8,318,39.46,OPEN
141,39,3237,1792,1,3,45.5,CANCELLED
142,680,1331,3950,3,236,43.98,PARTIALLY_SHIPPED
143,66,1711,4685,6,422,36.29,SHIPPED
144,32,2208,4869,4,131,41.18,PARTIALLY_SHIPPED
145,77,3650,4847,6,251,30.79,SHIPPED
146,159,467,3411,7,484,31.8,OPEN
147,1012,628,2270,4,354,13.54,PARTIALLY_SHIPPED
148,525,3117,6285,5,475,40.72,OPEN
149,691,2980,6932,3,141,12.69,PARTIALLY_SHIPPED
150,439,2934,1626,6,77,38.32,OPEN
151,189,1855,3698,6,93,27.48,OPEN
152,173,3673,4494,8,14,17.17,SHIPPED
153,655,2285,1682,10,82,28.62,PARTIALLY_SHIPPED
154,847,905,7045,3,215,52.09,PARTIALLY_SHIPPED
155,604,2813,7867,1,487,33.58,OPEN
156,487,1897,4045,10,160,23.99,SHIPPED
157,246,2290,794,9,132,45.16,OPEN
158,1082,2106,2194,10,95,31.21,PARTIALLY_SHIPPED
159,488,3505,4232,4,271,39.75,OPEN
160,634,3992,7587,8,470,60.56,SHIPPED
161,64,1470,6629,5,387,31.78,OPEN
162,859,151,6063,2,155,34.54,PARTIALLY_SHIPPED
163,795,343,7723,9,215,7.42,OPEN
164,250,3019,7018,8,474,44.32,SHIPPED
165,790,1802,2005,7,306,34.2,OPEN
166,694,462,2241,3,217,45.13,PARTIALLY_SHIPPED
167,1003,214,672,2,459,22.82,OPEN
168,232,3848,1128,1,411,69.4,CANCELLED
169,571,2112,962,4,480,15.89,OPEN
170,502,856,894,8,65,59.19,PARTIALLY_SHIPPED
171,936,1437,6547,9,277,41.49,OPEN
172,510,2840,5478,9,155,32.68,SHIPPED
173,201,3135,7534,1,497,6.51,OPEN
174,370,3848,3484,1,271,43.16,PARTIALLY_SHIPPED
175,163,944,1349,1,3,45.56,SHIPPED
176,860,3140,2611,5,452,68.69,SHIPPED
177,380,2618,4918,2,349,27.62,SHIPPED
178,228,3292,7432,8,213,41.56,OPEN
179,879,736,5110,2,499,17.24,PARTIALLY_SHIPPED
180,807,2165,6404,9,99,15.96,OPEN
181,364,38,6363,5,444,43.14,OPEN
182,838,3473,442,8,68,42.5,OPEN
183,270,1229,564,3,85,30.94,PARTIALLY_SHIPPED
184,136,2641,6358,1,135,44.43,SHIPPED
185,40,2756,2815,2,366,39.02,SHIPPED
186,414,2300,5084,4,375,26.61,SHIPPED
187,370,3686,1552,9,88,4.03,PARTIALLY_SHIPPED
188,441,2633,2681,10,27,10.25,PARTIALLY_SHIPPED
189,793,3400,7337,9,325,26.56,OPEN
190,399,3436,2460,10,169,34.21,SHIPPED
191,874,153,2915,10,282,45.78,SHIPPED
192,888,829,6790,1,216,21.48,OPEN
193,504,1591,6791,8,236,24.68,OPEN
194,42,1315,536,3,78,44.2,OPEN
195,600,2060,2866,9,71,7.58,SHIPPED
196,408,1659,7356,6,405,40.74,OPEN
197,85,2265,335,2,238,31.8,OPEN
198,2,3668,4630,5,133,2.87,SHIPPED
199,592,941,1114,4,142,30.1,OPEN
200,1072,1133,1916,7,142,24.43,OPEN
201,963,1483,7702,2,430,4.68,PARTIALLY_SHIPPED
202,733,2137,3170,8,204,29.97,OPEN
203,920,3056,737,6,98,19.39,PARTIALLY_SHIPPED
204,637,2315,7357,2,404,0.95,OPEN
205,505,2059,6894,9,392,56.81,OPEN
206,695,1745,384,1,422,50.2,OPEN
207,684,3082,2367,7,298,12.52,PARTIALLY_SHIPPED
208,547,1241,5976,1,406,57.39,SHIPPED
209,778,2919,6561,6,464,15.93,OPEN
210,838,2041,409,4,448,9.65,SHIPPED
211,62,931,6023,10,346,39.87,OPEN
212,627,1314,3638,1,106,28.26,PARTIALLY_SHIPPED
213,866,3556,5922,4,422,41.82,OPEN
214,523,2952,7738,1,161,8.97,SHIPPED
215,363,1852,2750,2,208,38.16,PARTIALLY_SHIPPED
216,184,3487,5949,9,283,12.75,PARTIALLY_SHIPPED
217,943,3145,2060,3,355,51.95,OPEN
218,954,253,2719,2,152,24.95,OPEN
219,972,1700,6094,3,379,4.78,OPEN
220,589,1615,4543,5,235,39.94,PARTIALLY_SHIPPED
221,876,3547,3365,2,486,21.99,OPEN
222,322,2783,5924,8,136,31.86,OPEN
223,222,2299,1818,7,115,34.98,PARTIALLY_SHIPPED
224,214,1855,3480,9,143,49.27,SHIPPED
225,996,2345,3078,5,207,5.1,OPEN
226,227,1815,2006,9,96,48.69,PARTIALLY_SHIPPED
227,156,3264,1286,1,77,29.92,OPEN
228,1038,2157,4200,9,273,65.45,SHIPPED
229,195,2648,3274,2,497,16.04,SHIPPED
230,388,1519,7917,9,49,57.0,PARTIALLY_SHIPPED
231,996,2262,284,3,54,6.9,OPEN
232,32,3913,2633,9,374,52.67,PARTIALLY_SHIPPED
233,605,2009,1746,5,242,48.32,SHIPPED
234,642,844,1650,8,432,37.35,SHIPPED
235,1068,1684,4978,4,221,9.41,PARTIALLY_SHIPPED
236,446,3841,5480,7,120,18.26,OPEN
237,682,568,5637,6,490,35.54,OPEN
238,903,2423,4865,10,147,26.33,PARTIALLY_SHIPPED
