shipment_id,shipment_date_id,order_id,product_id,warehouse_id,quantity_shipped,lead_time_days
1,639,160513,5546,5,374,11
2,742,131631,5187,4,191,28
3,925,88356,4781,8,291,5
4,39,145057,3532,5,415,15
5,208,169095,5997,2,155,15
6,296,160570,1340,2,49,14
7,749,98980,1349,7,357,6
8,753,99128,3742,9,199,23
9,45,163480,3340,7,44,18
10,1062,60674,1295,10,84,4
11,551,147279,722,2,103,10
12,999,37810,3530,8,440,22
13,98,39630,7948,5,2,9
14,97,167246,1368,2,316,28
15,269,20909,6039,5,483,22
16,1054,139723,2332,3,381,10
17,424,159704,7236,3,142,14
18,993,67624,1192,2,262,18
19,189,104536,158,5,418,22
20,414,45484,2377,9,349,25
21,255,42518,6583,3,429,7
22,1032,8478,5300,9,139,7
23,865,58062,6213,5,280,26
24,925,86930,1351,7,145,26
25,1008,101794,1080,8,460,11
26,81,56279,7990,9,9,13
27,288,105529,4665,10,261,15
28,740,122163,467,4,434,4
29,628,113535,5126,10,10,1
30,885,162920,7532,9,318,23
31,455,117993,4167,3,134,24
32,573,120292,6240,6,38,25
33,374,173347,7299,4,264,20
34,254,87069,3027,10,47,27
35,711,109321,1280,1,321,4
36,535,100595,3303,6,139,6
37,918,41383,4528,7,123,2
38,104,154013,5395,6,239,18
39,576,81295,3076,4,24,4
40,842,81569,247,5,67,24
41,582,94021,5443,3,215,29
42,351,15021,718,9,63,26
43,488,63842,5627,9,446,26
44,764,162915,596,1,77,29
45,179,146551,688,6,23,10
46,500,42391,1327,9,241,3
47,74,118017,2811,3,386,23
48,250,128209,2902,5,377,6
49,287,4491,139,3,179,19
50,700,159883,2775,8,350,16
51,697,130593,4442,6,345,20
52,369,176596,4385,4,452,4
53,384,141401,1455,2,299,12
54,383,102176,7146,8,353,21
55,569,41599,7828,10,234,8
56,21,58389,4067,10,428,17
57,151,108799,868,4,214,24
58,470,147409,3,5,41,5
59,50,147259,7006,3,127,1
60,716,64521,1561,7,325,30
61,220,12109,794,8,342,26
62,173,6867,1523,3,293,14
63,883,47134,4520,4,56,21
64,724,19360,3847,7,216,24
65,475,71995,7048,5,293,12
66,668,124171,1196,2,423,4
67,774,899,7082,1,316,12
68,982,54814,4050,10,415,25
69,694,66382,4300,7,229,2
70,112,108269,221,4,130,29
71,188,82237,3607,2,276,19
72,579,147746,4370,9,12,17
73,198,92586,1672,3,435,3
74,509,50766,5126,7,478,23
75,184,63634,2918,7,438,3
76,324,67160,5870,7,337,26
77,1068,16400,6800,4,164,28
78,315,157054,6252,9,122,30
79,100,76890,4272,9,284,24
80,867,22984,2686,5,482,22
